iter	Passed	Remaining
0	222	110991
1	387	96579
2	530	87898
3	655	81302
4	770	76304
5	904	74483
6	1023	72064
7	1130	69504
8	1258	68678
9	1365	66903
10	1477	65671
11	1573	64007
12	1686	63175
13	1789	62129
14	1909	61736
15	2025	61263
16	2154	61203
17	2272	60849
18	2397	60695
19	2514	60358
20	2637	60158
21	2752	59803
22	2873	59598
23	2986	59226
24	3093	58784
25	3205	58434
26	3325	58264
27	3434	57892
28	3545	57581
29	3648	57160
30	3763	56941
31	3869	56591
32	3982	56361
33	4094	56113
34	4212	55971
35	4346	56021
36	4466	55892
37	4585	55754
38	4695	55500
39	4811	55335
40	4937	55279
41	5054	55116
42	5173	54979
43	5296	54893
44	5413	54732
45	5522	54502
46	5627	54235
47	5741	54062
48	5848	53831
49	5966	53694
50	6077	53507
51	6191	53342
52	6297	53115
53	6398	52846
54	6510	52673
55	6627	52546
56	6744	52414
57	6847	52181
58	6955	51986
59	7057	51757
60	7179	51671
61	7301	51579
62	7410	51403
63	7517	51214
64	7643	51155
65	7767	51077
66	7874	50890
67	8001	50832
68	8117	50704
69	8236	50597
70	8346	50433
71	8461	50300
72	8579	50182
73	8682	49982
74	8801	49877
75	8919	49762
76	9025	49580
77	9139	49446
78	9257	49334
79	9374	49215
80	9487	49078
81	9605	48965
82	9719	48832
83	9832	48695
84	9957	48614
85	10072	48489
86	10183	48341
87	10280	48133
88	10386	47964
89	10504	47853
90	10627	47764
91	10746	47659
92	10853	47499
93	10974	47398
94	11106	47347
95	11227	47249
96	11348	47148
97	11452	46979
98	11574	46883
99	11685	46740
100	11811	46660
101	11925	46534
102	12045	46428
103	12162	46312
104	12288	46229
105	12416	46151
106	12541	46062
107	12645	45898
108	12761	45777
109	12872	45637
110	12984	45504
111	13099	45379
112	13225	45295
113	13348	45199
114	13471	45099
115	13584	44968
116	13710	44880
117	13821	44745
118	13947	44654
119	14067	44548
120	14188	44442
121	14309	44335
122	14447	44283
123	14561	44154
124	14678	44036
125	14792	43906
126	14898	43757
127	15026	43672
128	15146	43561
129	15245	43392
130	15355	43253
131	15463	43109
132	15585	43006
133	15719	42936
134	15829	42798
135	15950	42690
136	16072	42585
137	16192	42476
138	16323	42394
139	16442	42280
140	16558	42159
141	16673	42036
142	16794	41927
143	16903	41788
144	17025	41682
145	17131	41537
146	17248	41421
147	17368	41308
148	17493	41210
149	17618	41110
150	17746	41017
151	17858	40886
152	17980	40778
153	18097	40660
154	18211	40535
155	18333	40426
156	18475	40364
157	18616	40297
158	18758	40230
159	18916	40197
160	19065	40143
161	19193	40045
162	19347	40000
163	19493	39937
